,name,description,member
47640,BARX2,DCAF11,colon
47641,BARX2,NRL,colon
47644,BARX2,EMC9,colon
47647,BARX2,FUT8,colon
47648,BARX2,FUT8-AS1,colon
47649,BARX2,NUMB,colon
47651,BARX2,AC011558.5,colon
47652,BARX2,ABCA7,colon
47653,BARX2,ADAMTSL5,colon
47654,BARX2,CTB-25B13.9,colon
47655,BARX2,ZNF77,colon
47656,BARX2,AC006277.3,colon
47657,BARX2,TLE6,colon
47658,BARX2,CACTIN,colon
47659,BARX2,CCDC94,colon
47660,BARX2,AC005578.3,colon
47661,BARX2,SHD,colon
